match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
India vs South Africa,India,1,Rohit Sharma,c Klaasen b Maharaj,9,5,7,2,0,180.00
India vs South Africa,India,2,Virat Kohli,c Rabada b Jansen,76,59,87,6,2,128.81
India vs South Africa,India,3,Rishabh Pant,c †de Kock b Maharaj,0,2,2,0,0,0.00
India vs South Africa,India,4,Suryakumar Yadav,c Klaasen b Rabada,3,4,9,0,0,75.00
India vs South Africa,India,5,Axar Patel,run out (†de Kock),47,31,38,1,4,151.61
India vs South Africa,India,6,Shivam Dube,c Miller b Nortje,27,16,32,3,1,168.75
India vs South Africa,India,7,Hardik Pandya,,5,2,7,1,0,250.00
India vs South Africa,India,8,Ravindra Jadeja,c Maharaj b Nortje,2,2,1,0,0,100.00
India vs South Africa,South Africa,1,Reeza Hendricks, b Bumrah,4,5,6,1,0,80.00
India vs South Africa,South Africa,2,Quinton de Kock,c Kuldeep Yadav b Arshdeep Singh,39,31,54,4,1,125.80
India vs South Africa,South Africa,3,Aiden Markram,c †Pant b Arshdeep Singh,4,5,4,1,0,80.00
India vs South Africa,South Africa,4,Tristan Stubbs, b Patel,31,21,24,3,1,147.61
India vs South Africa,South Africa,5,Heinrich Klaasen,c †Pant b Pandya,52,27,33,2,5,192.59
India vs South Africa,South Africa,6,David Miller,c Yadav b Pandya,21,17,37,1,1,123.52
India vs South Africa,South Africa,7,Marco Jansen, b Bumrah,2,4,7,0,0,50.00
India vs South Africa,South Africa,8,Keshav Maharaj,,2,7,18,0,0,28.57
India vs South Africa,South Africa,9,Kagiso Rabada,c Yadav b Pandya,4,3,5,1,0,133.33
India vs South Africa,South Africa,10,Anrich Nortje,,1,1,1,0,0,100.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Afghanistan vs Australia,Afghanistan,1,Rahmanullah Gurbaz,c Warner b Stoinis,60,49,66,4,4,122.44
Afghanistan vs Australia,Afghanistan,2,Ibrahim Zadran,c Marsh b Zampa,51,48,73,6,0,106.25
Afghanistan vs Australia,Afghanistan,3,Azmatullah Omarzai, b Zampa,2,3,2,0,0,66.66
Afghanistan vs Australia,Afghanistan,4,Karim Janat,c David b Cummins,13,9,13,0,1,144.44
Afghanistan vs Australia,Afghanistan,5,Rashid Khan,c David b Cummins,2,5,4,0,0,40.00
Afghanistan vs Australia,Afghanistan,6,Mohammad Nabi,,10,4,10,2,0,250.00
Afghanistan vs Australia,Afghanistan,7,Gulbadin Naib,c Maxwell b Cummins,0,1,12,0,0,0.00
Afghanistan vs Australia,Afghanistan,8,Nangeyalia Kharote,,1,1,2,0,0,100.00
Afghanistan vs Australia,Australia,1,Travis Head, b Naveen-ul-Haq,0,3,2,0,0,0.00
Afghanistan vs Australia,Australia,2,David Warner,c Noor Ahmad b Mohammad Nabi,3,8,27,0,0,37.50
Afghanistan vs Australia,Australia,3,Mitchell Marsh,c Mohammad Nabi b Naveen-ul-Haq,12,9,9,2,0,133.33
Afghanistan vs Australia,Australia,4,Glenn Maxwell,c Noor Ahmad b Gulbadin Naib,59,41,58,6,3,143.90
Afghanistan vs Australia,Australia,5,Marcus Stoinis,c †Rahmanullah Gurbaz b Gulbadin Naib,11,17,20,1,0,64.70
Afghanistan vs Australia,Australia,6,Tim David,lbw b Gulbadin Naib,2,4,9,0,0,50.00
Afghanistan vs Australia,Australia,7,Matthew Wade,c Karim Janat b Rashid Khan,5,7,16,0,0,71.42
Afghanistan vs Australia,Australia,8,Pat Cummins, b Gulbadin Naib,3,9,9,0,0,33.33
Afghanistan vs Australia,Australia,9,Ashton Agar,c Gulbadin Naib b Naveen-ul-Haq,2,5,10,0,0,40.00
Afghanistan vs Australia,Australia,10,Adam Zampa,c Mohammad Nabi b Azmatullah Omarzai,9,7,15,1,0,128.57
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
U.S.A. vs England,United States of America,1,Steven Taylor,c Ali b Curran,12,13,25,2,0,92.30
U.S.A. vs England,United States of America,2,Andries Gous,c Salt b Topley,8,5,4,0,1,160.00
U.S.A. vs England,United States of America,3,Nitish Kumar, b Rashid,30,24,38,1,2,125.00
